[run number],T,game-size,R,eps,S,percent-of-C,percent-of-FREE,percent-of-COMP,delta,percent-of-D,P,percent-of-FAKE,probablistic,[step],"count patches with [genome = ""COMP""]","count patches with [genome = ""C""]","count patches with [genome = ""D""]","count patches with [genome = ""FREE""]","count patches with [genome = ""FAKE""]"
306,2,50,1,0.5,-1,0.2,0.2,0.2,4,0.2,0,0.2,FALSE,200,1732,0,0,869,0
307,2,50,1,0.5,-1,0.2,0.2,0.2,4,0.2,0,0.2,FALSE,200,1705,0,0,896,0
310,2,50,1,0.5,-1,0.2,0.2,0.2,4,0.2,0,0.2,FALSE,200,1711,0,0,890,0
309,2,50,1,0.5,-1,0.2,0.2,0.2,4,0.2,0,0.2,FALSE,200,1641,0,0,960,0
311,2,50,1,0.5,-1,0.2,0.2,0.2,4,0.2,0,0.2,FALSE,200,1643,0,0,958,0
312,2,50,1,0.5,-1,0.2,0.2,0.2,4,0.2,0,0.2,FALSE,200,1708,0,0,893,0
308,2,50,1,0.5,-1,0.2,0.2,0.2,4,0.2,0,0.2,FALSE,200,1723,0,0,878,0
313,2,50,1,0.5,-1,0.2,0.2,0.2,4,0.2,0,0.2,FALSE,200,1641,0,0,960,0
314,2,50,1,0.5,-1,0.2,0.2,0.2,4,0.2,0,0.2,FALSE,200,1740,0,0,861,0
315,2,50,1,0.5,-1,0.2,0.2,0.2,4,0.2,0,0.2,FALSE,200,1625,0,0,976,0
316,2,50,1,0.5,-1,0.2,0.2,0.2,4,0.2,0,0.2,FALSE,200,1700,0,0,901,0
317,2,50,1,0.5,-1,0.2,0.2,0.2,4,0.2,0,0.2,FALSE,200,1607,0,0,994,0
318,2,50,1,0.5,-1,0.2,0.2,0.2,4,0.2,0,0.2,FALSE,200,1723,0,0,878,0
319,2,50,1,0.5,-1,0.2,0.2,0.2,4,0.2,0,0.2,FALSE,200,1660,0,0,941,0
321,2,50,1,0.5,-1,0.2,0.2,0.2,4,0.2,0,0.2,FALSE,200,1624,0,0,977,0
320,2,50,1,0.5,-1,0.2,0.2,0.2,4,0.2,0,0.2,FALSE,200,1749,0,0,852,0
322,2,50,1,0.5,-1,0.2,0.2,0.2,4,0.2,0,0.2,FALSE,200,1664,0,0,937,0
323,2,50,1,0.5,-1,0.2,0.2,0.2,4,0.2,0,0.2,FALSE,200,1822,0,0,779,0
324,2,50,1,0.5,-1,0.2,0.2,0.2,4,0.2,0,0.2,FALSE,200,1677,0,0,924,0
326,2,50,1,0.5,-1,0.2,0.2,0.2,4,0.2,0,0.2,FALSE,200,1664,0,0,937,0
325,2,50,1,0.5,-1,0.2,0.2,0.2,4,0.2,0,0.2,FALSE,200,1745,0,0,856,0
327,2,50,1,0.5,-1,0.2,0.2,0.2,4,0.2,0,0.2,FALSE,200,1630,0,0,971,0
328,2,50,1,0.5,-1,0.2,0.2,0.2,4,0.2,0,0.2,FALSE,200,1748,0,0,853,0
330,2,50,1,0.5,-1,0.2,0.2,0.2,4,0.2,0,0.2,FALSE,200,1738,0,0,863,0
331,2,50,1,0.5,-1,0.2,0.2,0.2,4,0.2,0,0.2,FALSE,200,1653,0,0,948,0
329,2,50,1,0.5,-1,0.2,0.2,0.2,4,0.2,0,0.2,FALSE,200,1820,0,0,781,0
332,2,50,1,0.5,-1,0.2,0.2,0.2,4,0.2,0,0.2,FALSE,200,1697,0,0,904,0
333,2,50,1,0.5,-1,0.2,0.2,0.2,4,0.2,0,0.2,FALSE,200,1687,0,0,914,0
334,2,50,1,0.5,-1,0.2,0.2,0.2,4,0.2,0,0.2,FALSE,200,1745,0,0,856,0
335,2,50,1,0.5,-1,0.2,0.2,0.2,4,0.2,0,0.2,FALSE,200,1635,0,0,966,0
336,2,50,1,0.5,-1,0.2,0.2,0.2,4,0.2,0,0.2,FALSE,200,1706,0,0,895,0
337,2,50,1,0.5,-1,0.2,0.2,0.2,4,0.2,0,0.2,FALSE,200,1678,0,0,923,0
338,2,50,1,0.5,-1,0.2,0.2,0.2,4,0.2,0,0.2,FALSE,200,1680,0,0,921,0
339,2,50,1,0.5,-1,0.2,0.2,0.2,4,0.2,0,0.2,FALSE,200,1626,0,0,975,0
340,2,50,1,0.5,-1,0.2,0.2,0.2,4,0.2,0,0.2,FALSE,200,1736,0,0,865,0
341,2,50,1,0.5,-1,0.2,0.2,0.2,4,0.2,0,0.2,FALSE,200,1606,0,0,995,0
342,2,50,1,0.5,-1,0.2,0.2,0.2,4,0.2,0,0.2,FALSE,200,1632,0,0,969,0
343,2,50,1,0.5,-1,0.2,0.2,0.2,4,0.2,0,0.2,FALSE,200,1602,0,0,999,0
344,2,50,1,0.5,-1,0.2,0.2,0.2,4,0.2,0,0.2,FALSE,200,1683,0,0,918,0
345,2,50,1,0.5,-1,0.2,0.2,0.2,4,0.2,0,0.2,FALSE,200,1716,0,0,885,0
346,2,50,1,0.5,-1,0.2,0.2,0.2,4,0.2,0,0.2,FALSE,200,1666,0,0,935,0
349,2,50,1,0.5,-1,0.2,0.2,0.2,4,0.2,0,0.2,FALSE,200,1745,0,0,856,0
348,2,50,1,0.5,-1,0.2,0.2,0.2,4,0.2,0,0.2,FALSE,200,1622,0,0,979,0
347,2,50,1,0.5,-1,0.2,0.2,0.2,4,0.2,0,0.2,FALSE,200,1586,0,0,1015,0
351,2,50,1,0.5,-1,0.2,0.2,0.2,4,0.2,0,0.2,FALSE,200,1697,0,0,904,0
350,2,50,1,0.5,-1,0.2,0.2,0.2,4,0.2,0,0.2,FALSE,200,1769,0,0,832,0
352,2,50,1,0.5,-1,0.2,0.2,0.2,4,0.2,0,0.2,FALSE,200,1547,0,0,1054,0
353,2,50,1,0.5,-1,0.2,0.2,0.2,4,0.2,0,0.2,FALSE,200,1767,0,0,834,0
354,2,50,1,0.5,-1,0.2,0.2,0.2,4,0.2,0,0.2,FALSE,200,1662,0,0,939,0
355,2,50,1,0.5,-1,0.2,0.2,0.2,4,0.2,0,0.2,FALSE,200,1681,0,0,920,0
356,2,50,1,0.5,-1,0.2,0.2,0.2,4,0.2,0,0.2,FALSE,200,1650,0,0,951,0
